,nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
78,nm0000063,Anthony Quinn,1915,2001,"actor,producer,soundtrack","tt0057831,tt0049456,tt0074896,tt0056172"
79,nm0000104,Antonio Banderas,1960,\N,"actor,soundtrack,producer","tt1189073,tt0120657,tt0112851,tt0120746"
80,nm1102278,Antony Starr,1975,\N,actor,"tt0461097,tt0364751,tt1684925,tt1190634"
81,nm2309517,Armie Hammer,1986,\N,actor,"tt1638355,tt1210819,tt1285016,tt5726616"
82,nm0000090,Armin Mueller-Stahl,1930,\N,"actor,director,writer","tt0139809,tt0765443,tt0963178,tt0117631"
83,nm0000216,Arnold Schwarzenegger,1947,\N,"actor,producer,director","tt0103064,tt0107362,tt0093773,tt0216216"
84,nm0138770,Art Carney,1918,2003,"actor,soundtrack,producer","tt0107362,tt0087262,tt0071598,tt0076301"
85,nm0000171,Ashley Judd,1968,\N,"actress,producer,director","tt0352277,tt0470705,tt0150377,tt0113277"
86,nm0005110,Ashton Kutcher,1978,\N,"actor,producer,writer","tt1033643,tt0391304,tt1103153,tt0165598"
87,nm10917308,Aubrey Plaza,\N,\N,,\N
88,nm0000030,Audrey Hepburn,1929,1993,"actress,soundtrack","tt0058385,tt0046250,tt0054698,tt0056923"
89,nm0851582,Audrey Tautou,1976,\N,"actress,soundtrack,miscellaneous","tt0482088,tt0211915,tt0344510,tt0382625"
90,nm0001257,Ava Gardner,1922,1990,"actress,soundtrack,stunts","tt0058404,tt0043899,tt0046085,tt0053137"
91,nm10565774,Aziz Ansari,\N,\N,editorial_department,\N
92,nm0000703,BD Wong,1960,\N,"actor,soundtrack","tt0107290,tt0120762,tt4158110,tt0369610"
93,nm0003082,Bailey Chase,1972,\N,actor,"tt2975590,tt1836037,tt0830900,tt5345490"
94,nm0001766,Barbara Stanwyck,1907,1990,"actress,soundtrack","tt0033373,tt0036775,tt0032080,tt0058791"
95,nm0000659,Barbra Streisand,1942,\N,"soundtrack,producer,actress","tt0062994,tt0069495,tt0117057,tt0086619"
96,nm0280178,Barry Fitzgerald,1888,1961,"actor,soundtrack","tt0037515,tt0045061,tt0029947,tt0036872"
97,nm0001608,Barry Pepper,1970,\N,"actor,producer,executive","tt0120815,tt0120689,tt0250934,tt1403865"
98,nm0833152,Beatrice Straight,1914,2001,actress,"tt0091786,tt0076999,tt0084516,tt0074958"
99,nm0000977,Beau Bridges,1941,\N,"actor,director,producer","tt1033575,tt0097322,tt0467197,tt0413895"
100,nm0000255,Ben Affleck,1972,\N,"producer,actor,writer","tt1024648,tt0840361,tt2267998,tt0119217"
101,nm0112871,Ben Browder,1962,\N,"actor,writer,director","tt0387736,tt0118480,tt0929629,tt0187636"
102,nm0004936,Ben Foster,1980,\N,"actor,director,writer","tt0381849,tt0790712,tt2582782,tt3892172"
103,nm0424565,Ben Johnson,1918,1996,"actor,stunts,miscellaneous","tt0068638,tt0065214,tt0072705,tt0067328"
104,nm0001426,Ben Kingsley,1943,\N,"actor,soundtrack,producer","tt0203119,tt0108052,tt0083987,tt1300854"
105,nm0001774,Ben Stiller,1965,\N,"producer,actor,director","tt1608290,tt0359950,tt0196229,tt0942385"
106,nm1212722,Benedict Cumberbatch,1976,\N,"actor,producer,soundtrack","tt1408101,tt1211837,tt1322269,tt2084970"
107,nm0001125,Benicio Del Toro,1967,\N,"actor,producer,director","tt2015381,tt3397884,tt0181865,tt0114814"
108,nm0000973,Benjamin Bratt,1963,\N,"actor,producer,soundtrack","tt0098844,tt0181865,tt0212346,tt2380307"
109,nm0005170,Bernie Mac,1957,2008,"actor,writer,producer","tt0305357,tt0285341,tt0240772,tt0372237"
110,nm0335275,Beth Grant,1949,\N,"actress,producer,director","tt0477348,tt0111257,tt0246578,tt0449059"
111,nm0000012,Bette Davis,1908,1989,"actress,soundtrack,make_up_department","tt0031210,tt0056687,tt0035140,tt0042192"
112,nm0000541,Bette Midler,1945,\N,"soundtrack,actress,producer","tt0107120,tt0091877,tt0116313,tt0094715"
113,nm2365811,Betty Gilpin,1986,\N,actress,"tt8244784,tt5770786,tt2452244,tt7734218"
114,nm0924508,Betty White,1922,\N,"actress,producer,soundtrack","tt0065314,tt0088526,tt0139414,tt1041829"
115,nm0461498,Beyoncé,1981,\N,"soundtrack,actress,composer","tt6105098,tt1198138,tt0295178,tt0443489"
116,nm0122987,Bill Burr,1968,\N,"actor,producer,writer","tt9686708,tt1389096,tt1279935,tt4326894"
117,nm0352778,Bill Hader,1978,\N,"actor,writer,producer","tt2096673,tt1571249,tt5348176,tt3152624"
118,nm0000195,Bill Murray,1950,\N,"actor,soundtrack,writer","tt0362270,tt0335266,tt1748122,tt0128445"
119,nm0631490,Bill Nighy,1949,\N,"actor,soundtrack,producer","tt2194499,tt0314331,tt0383574,tt1797469"
120,nm0000200,Bill Paxton,1955,2017,"actor,producer,writer","tt0090605,tt0264616,tt0117998,tt0112384"
121,nm0000597,Bill Pullman,1953,\N,"actor,director,soundtrack","tt0094012,tt0116922,tt1628841,tt0116629"
122,nm0000671,Billy Bob Thornton,1955,\N,"actor,writer,director","tt0120324,tt0285742,tt0243133,tt0117666"
123,nm0121605,Billy Burke,1966,\N,"actor,writer,producer","tt1099212,tt1486185,tt1325004,tt1502404"
124,nm0175262,Billy Connolly,1942,\N,"actor,composer,music_department","tt1217209,tt0119280,tt0144117,tt2310332"
125,nm0001082,Billy Crudup,1968,\N,"actor,soundtrack","tt0319061,tt0181875,tt0343737,tt0409459"
126,nm0000345,Billy Crystal,1948,\N,"actor,writer,producer","tt0122933,tt0113097,tt0098635,tt0101587"
127,nm0000708,Billy Zane,1966,\N,"actor,producer,soundtrack","tt0097162,tt0117331,tt0120338,tt0096874"
128,nm0001078,Bing Crosby,1903,1977,"soundtrack,actor,producer","tt0036872,tt0047673,tt0046874,tt0049314"
129,nm0001951,Björk,1965,\N,"soundtrack,composer,actress","tt0138545,tt0114614,tt0110413,tt0168629"
130,nm0005516,Blair Underwood,1964,\N,"actor,producer,director","tt0120647,tt0113501,tt0160797,tt0119177"
131,nm0515116,Blake Lively,1987,\N,"actress,producer,soundtrack","tt0397442,tt0840361,tt4052882,tt1655441"
132,nm0001364,Bob Hoskins,1942,2014,"actor,soundtrack,director","tt0081070,tt0091538,tt0096438,tt0342258"
133,nm0644022,Bob Odenkirk,1962,\N,"writer,actor,producer","tt0112084,tt3032476,tt0903747,tt1821549"
134,nm0134072,Bobby Cannavale,1970,\N,"actor,writer,soundtrack","tt0340377,tt0478970,tt1904996,tt2334873"
135,nm0001372,Bonnie Hunt,1961,\N,"producer,writer,actress","tt0095953,tt0120689,tt0113497,tt0116695"
136,nm0000472,Boris Karloff,1887,1969,"actor,soundtrack","tt0032258,tt0023245,tt0023194,tt0026138"
137,nm0000093,Brad Pitt,1963,\N,"actor,producer,soundtrack","tt2935510,tt1210166,tt0356910,tt0114746"
138,nm0177896,Bradley Cooper,1975,\N,"actor,producer,soundtrack","tt2179136,tt1517451,tt1800241,tt1045658"
139,nm0005227,Breckin Meyer,1974,\N,"actor,writer,producer","tt0101917,tt0215129,tt0250687,tt0112697"
140,nm0000950,Brenda Blethyn,1946,\N,"actress,soundtrack,writer","tt0117589,tt0195234,tt0147004,tt0414387"
141,nm0002084,Brenda Fricker,1945,\N,actress,"tt0117913,tt0108174,tt0104431,tt0097937"
142,nm0000409,Brendan Fraser,1968,\N,"actor,producer,soundtrack","tt0120616,tt0119190,tt0209163,tt0375679"
143,nm0322407,Brendan Gleeson,1955,\N,"actor,soundtrack,director","tt2234003,tt1540133,tt0159365,tt0780536"
144,nm0124843,Brett Butler,1958,\N,"actress,producer,miscellaneous","tt1967614,tt0106017,tt0460091,tt2892456"
145,nm0004051,Brian Cox,1946,\N,"actor,soundtrack,producer","tt0091474,tt0268126,tt0290334,tt0332452"
146,nm0001133,Brian Dennehy,1938,2020,"actor,producer,director","tt0382932,tt0090022,tt0088933,tt0083944"
147,nm0236519,Brian Doyle-Murray,1945,\N,"actor,writer,producer","tt0097958,tt0102138,tt0080487,tt0105793"
