,tconst,Unnamed: 0,Unnamed: 0.1,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,directors,writers,actors,awards,country,language,budget,worldwideGross,oscarsWon,oscarsNom,goldenGlobesWon,goldenGlobesNom,totalWins,totalNoms
17,tt3170832,17,4589287,movie,Room,Room,0,2015,\N,118,"Drama,Thriller",8.1,374508.0,nm1049433,nm1480980,"Brie Larson,Jacob Tremblay,Sean Bridgers,Wendy Crewson,Sandy McMaster,Matt Gordon,Amanda Brugel,Joe Pingue,Joan Allen,Zarrin Darnell-Martin","Won1Oscar,104wins140nominations","Canada,Ireland,UK,USA",English,"$13,000,000","$35,401,758",1,0,0,0,104,140
18,tt2543472,18,4327154,movie,Wonder,Wonder,0,2017,\N,113,"Drama,Family",8.0,143716.0,nm0154716,"nm0154716,nm0175726,nm2113666,nm5383459","Jacob Tremblay,Owen Wilson,Izabela Vidovic,Julia Roberts,Mark Dozlaw,Rukiya Bernard,Jennifer March,Mandy Patinkin,Noah Jupe,Bryce Gheisar","Nominated1Oscar,4wins29nominations","USA,HongKong,Canada",English,"$20,000,000","$306,106,848",0,1,0,0,4,29
19,tt2194499,19,4085151,movie,About Time,About Time,0,2013,\N,123,"Comedy,Drama,Fantasy",7.8,305995.0,nm0193485,nm0193485,"Domhnall Gleeson,Rachel McAdams,Bill Nighy,Lydia Wilson,Lindsay Duncan,Richard Cordery,Joshua McGuire,Tom Hollander,Margot Robbie,Will Merrick",3wins9nominations,UK,English,"$12,000,000","$87,100,449",0,0,0,0,3,9
20,tt7984734,20,6757082,movie,The Lighthouse,The Lighthouse,0,2019,\N,109,"Drama,Fantasy,Horror",7.5,146132.0,nm3211470,"nm3211470,nm3220455","Robert Pattinson,Willem Dafoe,Valeriia Karaman,Logan Hawkes,Kyla Nicolle,Shaun Clarke,Pierre Richard,Preston Hudson,Jeffrey Cruts","Nominated1Oscar,32wins131nominations","Canada,USA,Brazil",English,,"$18,123,239",0,1,0,0,32,131
21,tt0112384,21,109939,movie,Apollo 13,Apollo 13,0,1995,\N,140,"Adventure,Drama,History",7.6,270694.0,nm0000165,"nm0522554,nm0460200,nm0115310,nm0718031","Tom Hanks,Bill Paxton,Kevin Bacon,Gary Sinise,Ed Harris,Kathleen Quinlan,Mary Kate Schellhardt,Emily Ann Lloyd,Miko Hughes,Max Elliott Slade","Won2Oscars,26wins59nominations",USA,English,"$52,000,000","$355,237,933",2,0,0,0,26,59
22,tt6590506,22,6109398,movie,Apollo 13,Apollo 13,0,1995,\N,49,Documentary,8.1,38.0,\N,\N,,,,,,,0,0,0,0,0,0
23,tt5052448,23,5420573,movie,Get Out,Get Out,0,2017,\N,104,"Horror,Mystery,Thriller",7.7,496989.0,nm1443502,nm1443502,"Daniel Kaluuya,Allison Williams,Catherine Keener,Bradley Whitford,Caleb Landry Jones,Marcus Henderson,Betty Gabriel,LaKeith Stanfield,Stephen Root,Lil Rel Howery","Won1Oscar,148wins202nominations","USA,Japan",English,"$4,500,000","$255,583,642",1,0,0,0,148,202
24,tt0099871,24,97681,movie,Jacob's Ladder,Jacob's Ladder,0,1990,\N,113,"Drama,Horror,Mystery",7.5,99229.0,nm0001490,nm0748022,"Tim Robbins,Elizabeth Peña,Danny Aiello,Matt Craven,Pruitt Taylor Vince,Jason Alexander,Patricia Kalember,Eriq La Salle,Ving Rhames,Brian Tarantina",3wins,USA,English,"$25,000,000","$26,118,851",0,0,0,0,3,
25,tt1396484,25,3232775,movie,It,It,0,2017,\N,135,Horror,7.3,462143.0,nm0615592,"nm1286060,nm1560977,nm2477891,nm0000175","Jaeden Martell,Jeremy Ray Taylor,Sophia Lillis,Finn Wolfhard,Chosen Jacobs,Jack Dylan Grazer,Wyatt Oleff,Bill Skarsgård,Nicholas Hamilton,Jake Sim",8wins49nominations,"USA,Canada","English,Hebrew","$35,000,000","$701,796,444",0,0,0,0,8,49
26,tt0907657,26,879632,movie,Once,Once,0,2007,\N,86,"Drama,Music,Romance",7.8,110990.0,nm0138809,nm0138809,"Glen Hansard,Markéta Irglová,Hugh Walsh,Gerard Hendrick,Alaistair Foley,Geoff Minogue,Bill Hodnett,Danuse Ktrestova,Darren Healy,Mal Whyte","Won1Oscar,22wins32nominations",Ireland,"English,Czech","$150,000","$20,936,722",1,0,0,0,22,32
27,tt1945037,27,3849761,movie,Begin Again,Begin Again,0,2013,\N,68,"Drama,Family",7.0,57.0,"nm3371870,nm2495038","nm3371870,nm3051877","Lisa Spurrier,Bill Gillane,Dusti Jones,Savanna Kylie Lewis,Matt Mascaro,Trevor Hawkes,Michael Solarez,Sarah Kent",3wins2nominations,USA,English,"$25,000",,0,0,0,0,3,2
28,tt1980929,28,3884294,movie,Begin Again,Begin Again,0,2013,\N,104,"Comedy,Drama,Music",7.4,144143.0,nm0138809,nm0138809,"James Corden,Keira Knightley,Mark Ruffalo,Hailee Steinfeld,Yasiin Bey,Karen Pittman,Paul Romero,Catherine Keener,Andrew Sellon,Ed Renninger","Nominated1Oscar,5wins17nominations",USA,English,"$8,000,000","$65,652,908",0,1,0,0,5,17
29,tt3312830,29,4650982,movie,Youth,Youth,0,2015,\N,124,"Comedy,Drama,Music",7.3,72302.0,nm0815204,nm0815204,"The Retrosettes,Gabriella Belisario,Laura De Marchi,Rachel Weisz,Paul Dano,Harvey Keitel,Alex Macqueen,Michael Caine,Ian Attard,Adam Jackson-Smith","Nominated1Oscar,23wins57nominations","Italy,France,UK,Switzerland","English,Spanish,SwissGerman","EUR12,300,000","$23,459,358",0,1,0,0,23,57
